Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
25,FC2 IN,158.865000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
26,SPTR 1,172.112500,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
27,SPTR 2,172.112500,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
28,GMRS1,462.550000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,GMRS2,462.575000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
30,TRACK,147.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,TRACK R,461.100000,+,5.000000,DTCS,88.5,88.5,606,NN,FM,5.00,,,,,,
32,TRACK X,466.600000,-,5.000000,DTCS,88.5,88.5,606,NN,FM,5.00,S,,,,,
33,TRACK S,461.100000,,0.000000,DTCS,88.5,88.5,606,NN,FM,5.00,S,,,,,
34,BALLARD,157.560000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
35,CAMP R,461.175000,+,5.000000,DTCS,88.5,88.5,023,NN,FM,5.00,S,,,,,
36,CAMP RV,466.175000,-,5.000000,DTCS,88.5,88.5,023,NN,FM,5.00,S,,,,,
37,FRS 7-2,462.712500,,0.000000,Tone,71.9,88.5,023,NN,FM,5.00,S,,,,,
38,X,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
39,X,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
40,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
41,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
42,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
43,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
44,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
45,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
46,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
47,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
48,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
49,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
50,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
51,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
52,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
53,BLUE DO,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
54,GREEN D,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
55,,470.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
60,,462.550000,,0.000000,DTCS,88.5,88.5,025,NN,FM,5.00,,,,,,
